Country/Region,Code,Region,Income group,Population,date,days_since_outbreak,confirmed,recovered,deaths,confirmed_new,recovered_new,deaths_new,active_new,active,v_t_clean_5ma,confirmed_100k,perc_infected_dn,perc_cfr_dn,confirmed_dn,cfr,cmr
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-03-27,1.0,110,2,4,16.0,0.0,0.0,16.0,104,4.4032599999999995,0.0,0.0029591858859961263,0.36363636363636365,1100,3.6363636363636362,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-03-28,2.0,110,2,4,0.0,0.0,0.0,0.0,104,5.012079999999999,0.0,0.0029591858859961263,0.36363636363636365,1100,3.6363636363636362,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-03-29,3.0,120,2,4,10.0,0.0,0.0,10.0,114,6.37734,0.0,0.003228202784723047,0.33333333333333337,1200,3.3333333333333335,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-03-30,4.0,170,2,4,50.0,0.0,0.0,50.0,164,5.682519999999999,0.0,0.00457328727835765,0.2352941176470588,1700,2.3529411764705883,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-03-31,5.0,174,5,4,4.0,3.0,0.0,1.0,165,10.4107,0.0,0.004680894037848418,0.22988505747126436,1740,2.2988505747126435,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-01,6.0,237,5,4,63.0,0.0,0.0,63.0,228,9.977979999999999,1.0,0.006375700499828017,0.16877637130801687,2370,1.6877637130801686,1.0760675949076824e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-02,7.0,273,10,6,36.0,5.0,2.0,29.0,257,10.076319999999999,1.0,0.007344161335244932,0.21978021978021978,2730,2.197802197802198,1.6141013923615235e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-03,8.0,281,10,6,8.0,0.0,0.0,8.0,265,13.282719999999998,1.0,0.007559374854226468,0.21352313167259787,2810,2.135231316725979,1.6141013923615235e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-04,9.0,299,10,7,18.0,0.0,1.0,17.0,282,15.116459999999998,1.0,0.008043605271934925,0.23411371237458192,2990,2.341137123745819,1.883118291088444e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-05,10.0,349,15,7,50.0,5.0,0.0,45.0,327,10.05242,1.0,0.009388689765569527,0.20057306590257878,3490,2.005730659025788,1.883118291088444e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-06,11.0,367,18,11,18.0,3.0,4.0,11.0,338,12.35958,1.0,0.009872920183277985,0.2997275204359673,3670,2.997275204359673,2.9591858859961264e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-07,12.0,423,18,14,56.0,0.0,3.0,53.0,391,12.355440000000002,1.0,0.011379414816148741,0.3309692671394799,4230,3.309692671394799,3.766236582176888e-05
Afghanistan,AFG,South Asia,Low income,37172386.0,2020-04-08,13.0,444,29,14,21.0,11.0,0.0,10.0,401,10.416900000000002,1.0,0.011944350303475272,0.3153153153153153,4440,3.153153153153153,3.766236582176888e-05
